lintang_selatan,bujur_timur,wilayah,kecamatan,nama_lokasi,Besi,E_Coli,IP,Krom_heks,Mangan,Nitrat,Nitrit,Organik,Surfaktan,Total_colif,Warna
-6.250028,106.833443,Jakarta Utara,Mampang Prapatan,Tegal Parang,0.05,200,20.69909409,0.0015,1.22,9.7,0.01,2.03,0.09,300,1
-6.250278,106.868416,Jakarta Utara,Kramatjati,Cawang,0.11,0,3.754912301,0.0015,0.71,1.3,0.005,3.27,0.03,0,1
-6.250853,106.861397,Jakarta Selatan,Pancoran,Pengadegan,0.03,0,0.707106781,0.003,0.03,9.9,0.01,2.03,0.03,0,1
-6.250892,106.80992,Jakarta Selatan,Kebayoran Baru,Pulo,0.015,600,23.18363473,0.0015,0.015,2,0.005,2.03,0.11,1600,3
-6.252778,106.811333,Jakarta Utara,Mampang Prapatan,Pela Mampang,0.1,0,18.55007371,0.0015,0.4,0.27,0.14,2.03,0.03,100,1
-6.257194,106.757156,Jakarta Selatan,Pesanggrahan,Pesanggrahan,0.015,0,1.800625621,0.0015,0.2,1.5,0.02,2.03,0.05,0,4
-6.257356,106.788094,Jakarta Selatan,Kebayoran Baru,Gandaria Utara,0.015,0,18.54073411,0.0015,0.015,7.1,0.005,2.03,0.03,100,2
-6.2577,106.8792,Jakarta Utara,Makasar,Kebon Pala,0.13,0,0.90001756,0.0015,0.11,1.4,0.08,2.03,0.11,0,8
-6.259194,106.827003,Jakarta Utara,Mampang Prapatan,Bangka,0.86,0,3.029879889,0.0015,0.05,0.27,0.005,2.03,0.2,0,29
-6.260206,106.852539,Jakarta Selatan,Pancoran,Rawajati,0.03,0,11.3137085,0.003,0.09,1.1,0.01,2.03,0.03,100,1
-6.26027,106.87002,Jakarta Utara,Kramatjati,Cililitan,0.015,600,23.46057569,0.0015,0.11,5.9,0.01,5.16,0.04,1900,1
-6.2605,106.84697,Jakarta Selatan,Pancoran,Kalibata,2.48,0,16.53612078,0.003,0.14,1.3,0.01,2.03,0.04,3000,115
-6.262866,106.802948,Jakarta Selatan,Kebayoran Baru,Cipete Utara,0.11,0,0.673865485,0.0015,0.09,0.27,0.005,2.03,0.03,0,5
-6.2677,106.877,Jakarta Utara,Makasar,Halim Perdana Kusuma,0.015,0,21.28131107,0.0015,0.015,9.4,0.005,2.03,0.04,600,1
