lintang_selatan,bujur_timur,wilayah,kecamatan,nama_lokasi,Besi,E_Coli,IP,Krom_heks,Mangan,Nitrat,Nitrit,Organik,Surfaktan,Total_colif,Warna
-6.164583,106.825165,Jakarta Pusat,Gambir,Kebon Kelapa,0.06,0,1.223747406,0.003,0.14,2.2,0.01,2.97,0.12,0,1
-6.166636,106.902351,Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,0.06,0,1.711391304,0.003,0.03,3.2,0.01,3.64,0.03,0,9
-6.167722,106.843613,Jakarta Pusat,Kemayoran,Kemayoran,3.41,0,5.856138271,0.003,2.86,1.4,0.09,4.07,0.1,0,77
-6.167944,106.857697,Jakarta Pusat,Kemayoran,Harapan Mulia,0.14,200,14.99558765,0.003,0.03,0.8,0.01,10.61,0.09,1100,5
-6.168044,106.851089,Jakarta Pusat,Kemayoran,Utan Panjang,0.03,0,1.936253556,0.003,0.03,7.4,0.01,2.03,0.09,0,1
-6.168083,106.809303,Jakarta Pusat,Gambir,Cideng,0.16,0,1.609631378,0.003,0.03,2.9,0.01,3.19,0.1,0,5
-6.168778,106.846474,Jakarta Pusat,Senen,Bungur,0.03,0,1.647545968,0.003,0.03,36.9,0.01,2.85,0.12,0,1
-6.169572,106.734512,Jakarta Barat,Cengkareng,Rawa Buaya,0.03,100,14.06488863,0.003,1.57,5.5,0.03,2.17,0.03,600,6
-6.169861,106.859421,Jakarta Pusat,Kemayoran,Cempaka Baru,0.28,0,17.72332514,0.003,0.04,0.9,0.01,2.57,0.12,6500,3
-6.170278,106.722466,Jakarta Barat,Cengkareng,Duri Kosambi,0.03,0,2.393985154,0.003,0.3,1.9,0.01,2.03,0.03,0,1
-6.171667,106.784164,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,0.68,0,2.940793014,0.003,0.07,0.9,0.01,8.76,0.06,0,41
-6.171897,106.800003,Jakarta Barat,Grogol Petamburan,Tomang,0.09,0,14.68746525,0.003,0.7,2.3,0.08,6.31,0.04,900,9
-6.172183,106.841362,Jakarta Pusat,Senen,Senen,0.03,0,16.43018479,0.003,0.03,23.5,0.01,9.29,0.06,2800,1
-6.173333333,106.9325,Jakarta Timur,Cakung,Cakung Barat 2,0.3,0,14.99558765,0.003,0.44,1.3,0.01,18.3,0.24,1100,28
-6.173606,106.870537,Jakarta Pusat,Cempaka Putih,Cempaka Putih,0.12,0,1.074108356,0.003,0.03,3.4,0.01,2.85,0.19,0,6
-6.175472,106.908607,Jakarta Utara,Kelapa Gading,Pegangsaan Dua,0.29,0,13.00058687,0.003,0.03,5.2,0.01,3.77,0.03,300,16
-6.175589,106.854584,Jakarta Pusat,Johar Baru,Galur,0.04,0,0.707106781,0.003,0.03,4.7,0.01,4.51,0.03,0,3
-6.176869,106.767311,Jakarta Barat,Kebon Jeruk,Kedoya Utara,0.41,0,5.066406335,0.003,1.71,4.2,0.1,2.03,0.03,0,20
-6.177172,106.804207,Jakarta Barat,Palmerah,Jati Pulo,0.015,1000,24.00482634,0.0015,0.015,4.3,0.02,2.03,0.03,2700,1
-6.179136,106.735336,Jakarta Barat,Kembangan,Kembangan Utara,0.015,0,18.52867156,0.0015,0.13,1.2,0.005,2.03,0.03,100,1
-6.179359,106.82019,Jakarta Pusat,Gambir,Gambir,1.57,0,11.3137085,0.003,0.81,1,0.01,6.63,0.07,100,75
-6.179839,106.758888,Jakarta Barat,Kebon Jeruk,Kedoya Selatan,0.03,0,3.800915548,0.003,0.75,4.8,0.01,2.03,0.04,0,1
-6.180314,106.858727,Jakarta Pusat,Johar Baru,Kampung Rawa,0.03,0,11.3137085,0.003,0.03,30.8,0.01,2.97,0.04,100,1
-6.180337,106.816063,Jakarta Pusat,Gambir,Petojo Selatan,7.96,0,6.363547628,0.003,0.43,2.1,0.02,16.33,0.06,0,44.2
-6.181156,106.787727,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,0.03,400,14.06488863,0.003,0.03,4,0.01,2.03,0.07,600,1
-6.183297,106.751923,Jakarta Barat,Kembangan,Kembangan Selatan,1.4,0,4.495316248,0.0015,1.01,0.27,0.005,2.03,0.06,0,80
-6.183333,106.81694,Jakarta Pusat,Tanah Abang,Kampung Bali,1.84,0,4.147633302,0.003,0.33,1,0.01,17.52,0.19,0,94
-6.18339,106.9062111,Jakarta Timur,Pulogadung,Pulo Gadung 1,0.015,0,0.810417063,0.0015,0.02,5.4,0.08,2.03,0.03,0,1
-6.183417,106.856613,Jakarta Pusat,Johar Baru,Johar Baru,0.03,0,3.672886183,0.003,0.69,4.9,0.01,2.82,0.03,0,6
-6.183577,106.95749,Jakarta Timur,Cakung,Cakung Timur 1,1.88,0,4.425350103,0.0015,0.95,0.3,0.01,5.9,0.2,0,85
-6.183694,106.849556,Jakarta Pusat,Johar Baru,Tanah Tinggi,0.03,0,1.319412705,0.003,0.06,4.9,0.01,2.63,0.08,0,6
-6.185031,106.7733,Jakarta Barat,Kebon Jeruk,Duri Kepa,0.03,0,12.37801026,0.003,1.28,3.6,0.01,3.21,0.03,200,2
-6.185208,106.801895,Jakarta Barat,Palmerah,Kota Bambu Selatan,0.015,0,1.572327566,0.0015,0.015,34.8,0.005,2.03,0.03,0,1
-6.185219,106.802155,Jakarta Barat,Palmerah,Kota Bambu Utara,3.57,0,5.662597168,0.0015,1.18,1.2,0.02,10.14,0.03,0,210
-6.185586,106.922554,Jakarta Timur,Cakung,Rawa Terate,0.02,700,24.45855193,0.0015,0.28,2.9,0.01,2.03,0.04,3500,1
-6.185911111,106.8936917,Jakarta Timur,Pulogadung,Pulo Gadung 2,0.83,0,19.67819362,0.0015,0.27,0.3,0.01,2.03,0.03,200,18
-6.185978,106.828094,Jakarta Pusat,Menteng,Kebon Sirih,0.95,200,13.78494065,0.003,0.98,1,0.01,2.03,0.07,500,77
-6.186222,106.887444,Jakarta Timur,Pulogadung,Kayu Putih,0.1,0,22.22647134,0.0015,0.02,0.3,0.06,2.7,0.08,1100,9
-6.186533333,106.9225528,Jakarta Timur,Cakung,Ujung Menteng,4,0,18.72845959,0.0015,0.85,0.3,0.01,2.03,0.04,100,71
-6.186686,106.840965,Jakarta Pusat,Senen,Kwitang,1.75,100,11.3137085,0.003,0.83,3.1,0.01,2.38,0.11,100,237
-6.187831,106.847397,Jakarta Pusat,Senen,Kramat,0.23,0,5.727408475,0.003,2.63,8.3,0.01,15.58,0.14,0,18
-6.188797,106.838821,Jakarta Pusat,Menteng,Gondang Dia,0.05,0,0.707106781,0.003,0.03,2.4,0.01,2.03,0.09,0,1
-6.1902,106.870872,Jakarta Pusat,Cempaka Putih,Rawa Sari,0.03,200,14.30158127,0.003,0.34,1.1,0.01,2.03,0.03,700,13
-6.190639,106.846446,Jakarta Pusat,Senen,Kenari,0.32,0,2.051356518,0.003,0.03,8.4,0.01,2.03,0.19,0,24
-6.190833,106.190834,Jakarta Pusat,Menteng,Cikini,0.14,0,0.965579406,0.003,0.03,1.4,0.01,2.03,0.11,0,5
-6.191097,106.814568,Jakarta Pusat,Tanah Abang,Kebon Kacang,3.3,0,13.44231201,0.003,0.03,2,0.16,2.03,0.03,400,1
-6.191111,106.772224,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,1.39,0,3.683972606,0.003,0.63,3.6,0.01,2.03,0.15,0,48
-6.191222,106.807159,Jakarta Pusat,Tanah Abang,Petamburan,4.09,0,5.341107427,0.003,0.82,1.8,0.01,3.82,0.04,0,108
-6.191222,106.812775,Jakarta Pusat,Tanah Abang,Kebon Melati,0.27,0,4.346528029,0.003,1.07,2,0.02,3.16,0.04,0,13
-6.191391667,106.942975,Jakarta Timur,Cakung,Cakung Barat 1,0.1,0,2.049090478,0.0015,0.015,1.2,0.005,7.4,0.24,0,23
-6.191528,106.8554027,Jakarta Pusat,Senen,Paseban,0.015,300,22.27208321,0.0015,0.015,5.2,0.005,NA,NA,900,1
-6.191528,106.855403,Jakarta Pusat,Senen,Paseban,0.03,0,1.512807952,0.003,0.03,33.8,0.01,2.03,0.12,0,1
-6.192317,106.786667,Jakarta Barat,Palmerah,Kemanggisan,0.015,300,21.37236241,0.0015,0.015,6.5,0.01,2.03,0.05,500,1
-6.193678,106.801819,Jakarta Barat,Palmerah,Slipi,0.18,0,18.56728559,0.0015,0.31,0.27,2,2.03,0.03,100,9
-6.196564,106.747604,Jakarta Barat,Kembangan,Meruya Utara,0.17,0,3.639749295,0.0015,0.65,1,0.005,2.03,0.03,0,10
-6.197706,106.905342,Jakarta Timur,Cakung,Jatinegara,0.02,0,11.44903014,10.003,0.72,4.8,0,2.03,0.17,0,1
-6.198867,106.880661,Jakarta Timur,Pulogadung,Rawamangun,0.015,0,0.411761019,0.0015,0.015,2.9,0.01,2.03,0.05,0,3
-6.199202778,106.9004889,Jakarta Timur,Pulogadung,Jati,0.66,0,5.693002991,0.0015,2.37,2.1,0.02,2.03,0.03,0,14
-6.1995,106.906609,Jakarta Timur,Cakung,Jatinegara 2,0.02,0,0.657978325,0.0015,0.09,5.4,0.03,2.03,0.1,0,1
-6.200566,106.868551,Jakarta Utara,Matraman,Utan Kayu Selatan,0.41,0,3.259379858,0.0015,0.5,0.3,0.01,2.03,0.04,0,5
-6.202214,106.787056,Jakarta Barat,Palmerah,Palmerah,0.015,0,23.94844836,0.0015,2.28,0.27,0.005,2.03,0.03,3100,44
-6.202667,106.930916,Jakarta Timur,Cakung,Penggilingan,0.05,0,19.58755552,0.0015,0.02,0.3,0.01,2.17,0.08,200,2
-6.203045,106.804382,Jakarta Pusat,Tanah Abang,Bendungan Hilir,0.03,0,0.899290139,0.003,0.03,2.6,0.02,2.03,0.05,0,1
-6.203533,106.756936,Jakarta Barat,Kembangan,Srengseng,0.015,0,18.51051514,0.0015,0.015,5.4,0.005,2.03,0.03,100,1
-6.203861,106.844475,Jakarta Pusat,Menteng,Menteng,0.03,200,16.31639475,0.003,0.15,1.4,0.01,2.03,0.05,2600,4
-6.204306,106.850304,Jakarta Pusat,Menteng,Pegangsaan,0.03,0,1.190486982,0.003,0.03,7.7,0.01,2.03,0.18,0,1
-6.205609,106.855774,Jakarta Utara,Matraman,Kebon Manggis,0.02,0,0.486052573,0.0015,0.015,7,0.01,2.03,0.03,0,1
-6.206711111,106.8328139,Jakarta Selatan,Setiabudi,Guntur,0.06,0,0.525175112,0.0015,0.015,3.4,0.005,2.03,0.04,0,3
-6.20694,106.863527,Jakarta Utara,Matraman,Kayu Manis,0.02,2800,25.54267331,0.0015,0.02,11.6,0.12,4.3,0.03,7100,3
-6.207228,106.86142,Jakarta Utara,Matraman,Pelmerah,0.02,0,0.637264494,0.0015,0.015,15.4,0.01,2.05,0.03,0,1
-6.208514,106.877174,Jakarta Timur,Pulogadung,Pisangan Timur,0.015,0,2.264192673,0.0015,0.27,7.6,0.01,2.36,0.06,0,3
-6.208916667,106.8950194,Jakarta Timur,Pulogadung,Cipinang,0.05,0,5.31771946,0.0015,1.94,4.3,0.01,2.03,0.05,0,2
-6.208972222,106.8239722,Jakarta Selatan,Setiabudi,Setiabudi,0.015,0,0.565869277,0.0015,0.015,0.27,0.005,2.03,0.12,0,3
-6.20916667,106.8979222,Jakarta Timur,Pulogadung,Jati Negara Kaum,0.03,0,0.672304058,0.0015,0.05,1.7,0.01,2.03,0.04,0,1
-6.209167,106.871194,Jakarta Utara,Matraman,Pisangan Baru,0.02,0,3.213240496,0.0015,0.5,3.5,0.08,2.03,0.05,0,1
-6.209948,106.842126,Jakarta Selatan,Setiabudi,Pasar Manggis,0.015,0,0.485409951,0.0015,0.015,1.6,0.02,2.03,0.03,0,5
-6.210861,106.789391,Jakarta Selatan,Kebayoran Lama,Grogol Utara,0.04,0,0.671685277,0.0015,0.015,1.1,0.005,2.03,0.03,0,1
-6.212278,106.815315,Jakarta Pusat,Tanah Abang,Karet Tengsin,0.03,0,13.00058687,0.003,0.03,1.9,0.01,2.88,0.03,300,1
-6.214436,106.769592,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,0.03,0,14.8492424,0.003,0.03,10.8,0.01,2.03,0.08,1000,1
-6.214517,106.859642,Jakarta Timur,Jatinegara,Kampung Melayu,0.015,0,22.22760032,0.0015,0.08,11.1,0.01,2.03,0.1,1100,4
-6.214764,106.736336,Jakarta Barat,Kembangan,Meruya Selatan,0.015,0,19.59940176,0.0015,0.16,8.6,0.02,2.03,0.03,200,2
-6.2169,106.9081,Jakarta Timur,Duren Sawit,Blender,0.25,0,19.64652638,0.0015,0.56,0.3,0.01,5.87,0.03,200,3
-6.217022,106.90799,Jakarta Timur,Duren Sawit,Malaka Jaya,0.02,0,0.456859597,0.0015,0.02,4.2,0.01,2.03,0.03,0,1
-6.217264,106.882233,Jakarta Timur,Jatinegara,Cipinang Besar Utara,0.7,0,3.873354025,0.0015,0.71,0.3,0.01,3.59,0.03,0,30
-6.217736,106.851547,Jakarta Selatan,Tebet,Manggarai,0.015,23000,27.92159017,0.0015,0.06,4.3,0.005,2.03,0.04,32000,1
-6.217767,106.847267,Jakarta Selatan,Tebet,Manggarai Selatan,0.015,14000,27.58797021,0.0015,0.015,6.1,0.005,2.73,0.07,26000,3
-6.218852778,106.8248611,Jakarta Selatan,Setiabudi,Karet Kuningan,0.03,0,0.546755127,0.0015,0.015,10.2,0.005,2.03,0.03,0,1
-6.219883,106.883303,Jakarta Timur,Jatinegara,Balimester,0.015,0,0.442116313,0.0015,0.03,11.8,0.01,2.03,0.04,0,2
